wk,home_score,away_score,home_expected_goals,away_expected_goals,away_id,away_shots,away_shots_on_target,away_touches,away_pass_pct,away_assists,home_id,home_shots,home_shots_on_target,home_touches,home_pass_pct,home_assists,home_team,away_team
30,1,1,2.3,1.0,bc357bf7,8,2,504,67.6,1,0cdc4311,16,5,518,72.1,1,Augsburg,Köln
31,0,2,2.1,1.9,acbb6a5b,15,7,625,74.8,1,033ea6b8,24,8,638,74.9,0,Hoffenheim,RB Leipzig
31,0,1,0.6,0.6,add600ae,6,3,860,88.8,1,b1278397,6,3,560,79.4,0,Düsseldorf,Dortmund
31,1,5,1.7,2.7,62add3bf,10,7,567,76.8,3,d9f93f02,20,9,556,73.0,0,Paderborn 07,Werder Bremen
31,1,4,1.0,2.3,f0ac8ee6,18,7,693,82.6,3,2818f8bc,6,4,499,78.1,0,Hertha BSC,Eint Frankfurt
31,2,2,2.8,2.3,a486e511,11,5,547,77.0,1,4eaa11d7,19,5,489,75.5,1,Wolfsburg,Freiburg
31,1,2,1.3,1.2,7a41008f,7,5,494,69.4,2,bc357bf7,10,6,700,79.6,1,Köln,Union Berlin
31,2,1,1.4,0.8,32f3ee20,9,2,702,82.4,0,054efa67,10,5,698,83.3,1,Bayern Munich,M'gladbach
31,0,1,1.9,1.1,0cdc4311,9,3,441,60.6,1,a224b06a,18,4,681,75.8,0,Mainz 05,Augsburg
31,1,1,1.5,1.3,c7a9f859,15,5,916,84.7,0,c539e393,6,3,436,65.1,0,Schalke 04,Leverkusen
32,3,0,1.9,0.4,4eaa11d7,11,2,629,80.5,0,32f3ee20,11,4,691,83.3,3,M'gladbach,Wolfsburg
32,1,0,1.7,0.7,d9f93f02,12,3,655,79.0,0,7a41008f,15,6,523,74.4,0,Union Berlin,Paderborn 07
32,0,1,0.5,1.2,054efa67,12,3,822,83.3,1,62add3bf,6,1,606,74.4,0,Werder Bremen,Bayern Munich
32,2,1,1.7,2.1,2818f8bc,11,4,571,79.7,0,a486e511,18,5,560,79.9,0,Freiburg,Hertha BSC
32,2,1,2.4,1.0,c539e393,8,4,498,73.2,1,f0ac8ee6,14,4,749,82.4,2,Eint Frankfurt,Schalke 04
32,2,2,1.1,1.1,b1278397,12,2,433,64.2,2,acbb6a5b,13,5,885,86.8,2,RB Leipzig,Düsseldorf
32,3,1,2.7,0.8,bc357bf7,8,1,434,69.3,1,c7a9f859,14,6,786,84.4,2,Leverkusen,Köln
